,date,DEVICE,OS,IS_LOGGEDIN,videos_regardes_sup90,videos_contenu_sup90,total_videos_vues,total_vues_loguees
273,2024-06-19,Desktop,Windows,0,97,133,136,0
274,2024-06-19,Desktop,Windows,1,53,78,87,87
275,2024-06-19,Desktop,macOS,0,21,37,38,0
276,2024-06-19,Desktop,macOS,1,10,20,22,22
277,2024-06-19,Media Player,iOS,0,0,1,1,0
278,2024-06-19,Mobile Phone,Android,0,250,496,511,0
279,2024-06-19,Mobile Phone,Android,1,198,292,316,316
280,2024-06-19,Mobile Phone,iOS,0,176,267,271,0
281,2024-06-19,Mobile Phone,iOS,1,121,212,231,231
282,2024-06-19,Set Top Box,Android,1,1,1,1,1
283,2024-06-19,Tablet,Android,0,24,52,55,0
284,2024-06-19,Tablet,Android,1,37,66,75,75
285,2024-06-19,Tablet,iOS,0,7,14,14,0
286,2024-06-19,Tablet,iOS,1,46,78,86,86
287,2024-06-19,Tablet,iPadOS,0,16,20,20,0
288,2024-06-19,Tablet,iPadOS,1,2,3,3,3
289,2024-06-19,smart-tv,,0,0,1,2,0
290,2024-06-19,smart-tv,Android,1,0,0,1,1
291,2024-06-19,smart-tv,allwinner,1,0,1,1,1
292,2024-06-19,smart-tv,amazon,0,0,23,75,0
293,2024-06-19,smart-tv,amazon,1,5,47,127,127
294,2024-06-19,smart-tv,amino,0,0,1,1,0
295,2024-06-19,smart-tv,apple,0,7,37,104,0
296,2024-06-19,smart-tv,apple,1,10,19,54,54
297,2024-06-19,smart-tv,askey,0,0,1,1,0
298,2024-06-19,smart-tv,askey,1,0,2,5,5
299,2024-06-19,smart-tv,changhong,0,0,1,2,0
300,2024-06-19,smart-tv,changhong,1,0,1,5,5
301,2024-06-19,smart-tv,chengdu,1,0,0,1,1
302,2024-06-19,smart-tv,expressluck,0,2,2,11,0
303,2024-06-19,smart-tv,expressluck,1,2,8,12,12
304,2024-06-19,smart-tv,fengmi,1,0,0,1,1
305,2024-06-19,smart-tv,formuler,0,0,1,2,0
306,2024-06-19,smart-tv,google,0,8,19,65,0
307,2024-06-19,smart-tv,google,1,14,41,111,111
308,2024-06-19,smart-tv,hisense,0,2,22,35,0
309,2024-06-19,smart-tv,hisense,1,1,11,52,52
310,2024-06-19,smart-tv,hkc,1,0,2,2,2
311,2024-06-19,smart-tv,jiuzhou,1,0,0,1,1
312,2024-06-19,smart-tv,konka,0,0,0,2,0
313,2024-06-19,smart-tv,konka,1,1,1,3,3
314,2024-06-19,smart-tv,lg,0,4,29,61,0
315,2024-06-19,smart-tv,lg,1,7,25,73,73
316,2024-06-19,smart-tv,mtc,0,1,0,6,0
317,2024-06-19,smart-tv,mtc,1,2,2,9,9
318,2024-06-19,smart-tv,my,0,0,4,6,0
319,2024-06-19,smart-tv,my,1,0,2,13,13
320,2024-06-19,smart-tv,nvidia,0,0,1,3,0
321,2024-06-19,smart-tv,nvidia,1,0,0,3,3
322,2024-06-19,smart-tv,onn,0,0,0,1,0
323,2024-06-19,smart-tv,onn,1,0,0,1,1
324,2024-06-19,smart-tv,philips,0,2,4,6,0
325,2024-06-19,smart-tv,philips,1,1,6,15,15
326,2024-06-19,smart-tv,samsung,0,19,101,202,0
327,2024-06-19,smart-tv,samsung,1,18,75,201,201
328,2024-06-19,smart-tv,scbc,1,0,1,5,5
329,2024-06-19,smart-tv,sdmc,0,1,2,4,0
330,2024-06-19,smart-tv,sdmc,1,0,0,3,3
331,2024-06-19,smart-tv,sei,0,0,0,1,0
332,2024-06-19,smart-tv,sei,1,0,1,2,2
333,2024-06-19,smart-tv,sharp,0,0,2,3,0
334,2024-06-19,smart-tv,sharp,1,0,3,5,5
335,2024-06-19,smart-tv,skyworth,1,0,0,1,1
336,2024-06-19,smart-tv,skyworthdigital,0,0,1,4,0
337,2024-06-19,smart-tv,skyworthdigital,1,1,1,5,5
338,2024-06-19,smart-tv,sony,0,1,5,17,0
339,2024-06-19,smart-tv,sony,1,1,9,27,27
340,2024-06-19,smart-tv,tcl,0,6,21,58,0
341,2024-06-19,smart-tv,tcl,1,8,26,86,86
342,2024-06-19,smart-tv,technicolor,1,0,1,2,2
343,2024-06-19,smart-tv,tpv,0,3,3,11,0
344,2024-06-19,smart-tv,tpv,1,2,9,17,17
345,2024-06-19,smart-tv,vestel,0,0,1,3,0
346,2024-06-19,smart-tv,vestel,1,1,0,7,7
347,2024-06-19,smart-tv,xgimi,1,2,0,2,2
348,2024-06-19,smart-tv,xiaomi,0,4,14,46,0
349,2024-06-19,smart-tv,xiaomi,1,8,17,53,53
350,2024-06-19,smart-tv,zte,0,0,1,3,0
351,2024-06-20,DESKTOP,Android,0,0,2,2,0
352,2024-06-20,Desktop,Android,1,1,1,1,1
353,2024-06-20,Desktop,Chrome OS,1,2,5,5,5
354,2024-06-20,Desktop,Linux,0,6,9,9,0
